gpa,1,3.8
gpa,2,3.65
gpa,3,3.5
gpa,4,3.2
toefl,1,107
toefl,2,104
toefl,3,100
toefl,4,98
ielts,1,7.5
ielts,2,7
ielts,3,6.5
ielts,4,6.5
gre,1,330
gre,2,326
gre,3,320
gre,4,310
gmat,1,720
gmat,2,680
gmat,3,650
gmat,4,620
research,1,0.9
research,2,0.8
research,3,0.7
research,4,0.6
internship,1,0.9
internship,2,0.8
internship,3,0.7
internship,4,0.6
activity,1,0.9
activity,2,0.8
activity,3,0.7
activity,4,0.6
scholarship,1,0.9
scholarship,2,0.8
scholarship,3,0.7
scholarship,4,0.6
competition,1,0.9
competition,2,0.8
competition,3,0.7
competition,4,0.6
credential,1,0.9
credential,2,0.8
credential,3,0.7
credential,4,0.6